Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Afghanistan,AFG,178.5,129.3,73.4,70.2,67.2,64.6,62.2,59.9,57.8,55.7,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Albania,ALB,40.8,27.2,9.9,9.6,9.4,9.3,9.3,9.4,9.4,9.5,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Algeria,DZA,51.9,41.7,25.7,25.3,24.9,24.5,24,23.5,22.9,22.3,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Andorra,AND,13.1,7.6,3.7,3.5,3.4,3.2,3.1,3,2.8,2.8,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Angola,AGO,223.5,205.1,92.9,88.3,84.4,81.1,78,75,72.1,69.4,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Antigua and Barbuda,ATG,14.1,15.5,8.1,7.7,7.4,7.1,6.8,6.6,6.4,6.1,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Argentina,ARG,28.8,19.7,12.2,11.6,11,10.3,9.5,8.6,7.7,6.9,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Armenia,ARM,48.9,30.7,15.1,14.4,13.7,13,12.4,11.8,11.3,10.7,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Australia,AUS,9.2,6.2,4,3.9,3.8,3.8,3.8,3.8,3.7,3.7,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Austria,AUT,9.5,5.5,3.8,3.7,3.6,3.6,3.6,3.6,3.6,3.7,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Azerbaijan,AZE,95.3,74.6,28.3,26.3,24.5,22.9,21.5,20.4,19.4,18.6,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,"Bahamas, The",BHS,23.5,16.3,14.1,13.9,13.8,13.6,13.5,23.4,13.3,13.2,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Bahrain,BHR,23,12.5,7.5,7.4,7.3,7.3,7.2,7.1,7,6.9,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Bangladesh,BGD,146,86.1,40,38,36,34.1,32.2,30.4,28.8,27.3,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Barbados,BRB,18.1,15.2,14.4,14.1,13.8,13.4,13,12.7,12.3,11.9,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Belarus,BLR,15.2,12.8,4.3,4.1,3.9,3.6,3.4,3.1,2.9,2.7,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Belgium,BEL,10,5.9,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Belize,BLZ,38.4,23.6,16.1,15.3,14.5,13.7,13,12.3,11.7,11.2,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Benin,BEN,172.7,136.8,100.1,97.9,95.6,93.4,91.1,88.6,86,83.5,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Bhutan,BTN,126.7,77.1,34.7,33.2,31.9,30.6,29.6,28.5,27.5,26.7,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Bolivia,BOL,121.5,75.6,33.3,31.6,30.2,28.9,27.7,26.6,25.6,24.7,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Bosnia and Herzegovina,BIH,18.1,9.9,6.4,6.3,6.2,6.1,6,5.9,5.7,5.6,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Botswana,BWA,45.3,74,48.2,45.4,43.5,39.9,39,37.7,36.3,34.9,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Brazil,BRA,63.2,34.7,16.3,15.9,16.7,15.4,15.2,14.9,14.7,14.4,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,British Virgin Islands,VGB,19.1,15.7,13.1,12.7,12.3,11.9,11.5,11.2,10.9,10.5,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Brunei Darussalam,BRN,13.3,10.3,10.4,10.6,10.8,11,11.2,11.4,11.5,11.5,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Bulgaria,BGR,18.4,17.4,8.7,8.1,7.7,7.3,7,6.7,6.5,6.3,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Burkina Faso,BFA,199.1,178.7,104.7,101.1,97.7,94.5,91.3,88.2,85.4,82.6,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Burundi,BDI,170.3,154.6,71.6,67.9,64.6,61.7,59.1,56.7,54.6,52.6,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Cabo Verde,CPV,60.4,38.1,21.3,19.7,18.3,17,15.9,15,14.2,13.5,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Cambodia,KHM,116.3,106.3,33.4,31.7,30.3,28.9,27.8,26.8,25.8,24.8,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Cameroon,CMR,136.2,144.4,92.5,88.1,84.3,80.8,77.7,75.1,72.4,69.8,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Canada,CAN,8.2,6.2,5.4,5.4,5.3,5.3,5.2,5.2,5.1,5,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Central African Republic,CAF,177.4,166.1,118.6,115.5,112.7,110.9,108.8,105.9,103,99.9,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Chad,TCD,212,184.3,133.3,129.5,125.8,121.9,118,114.3,110.5,107.1,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Chile,CHL,19.1,10.9,8.1,8,7.8,7.6,7.4,7.1,6.9,6.6,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,China,CHN,53.6,36.7,11.6,10.7,9.9,9.2,8.6,8,7.4,6.9,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Colombia,COL,35.6,25.1,16.1,15.6,15.1,14.6,14.1,13.7,13.3,12.8,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Comoros,COM,126.5,96.4,63.5,61.2,59,56.9,54.9,53.1,51.3,49.7,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,"Congo, Dem. Rep.",COD,186.3,160.1,99.7,96.5,93.4,90.3,87.2,84.4,81.7,79,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,"Congo, Rep.",COG,91.2,113.5,54.6,52.8,51,49.3,47.7,52.4,44.5,43,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Costa Rica,CRI,16.9,13.1,9.3,9.1,8.9,8.7,8.4,8.2,7.9,7.6,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Cote d'Ivoire,CIV,153.4,142.9,93.5,90.5,88,85.6,82.8,79.7,77.3,74.8,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Croatia,HRV,12.9,8.3,5,4.9,4.9,4.8,4.8,4.7,4.7,4.6,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Cuba,CUB,13.6,8.8,5.8,5.7,5.5,5.4,5.3,5.2,5.1,5,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Cyprus,CYP,11.3,6.5,2.9,2.8,2.7,2.7,2.8,2.8,2.8,2.8,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Czechia,CZE,12.1,5.5,3.1,3.2,3.2,3.2,3.1,3,2.9,2.8,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Denmark,DNK,8.9,5.6,4.1,4.1,4,4,3.9,3.8,3.7,3.6,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Djibouti,DJI,117.8,100.6,67.8,65.6,63.8,61.9,59.9,57.9,56,54.1,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Dominica,DMA,16.4,16.9,29.9,31.2,32.5,33.6,34.5,35.2,35.6,35.9,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Dominican Republic,DOM,59.6,40,35.1,35.1,35.1,35.1,34.8,34.3,33.7,33,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Ecuador,ECU,54.1,29.6,16,15.4,14.8,14.4,13.9,13.4,12.9,12.5,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,"Egypt, Arab Rep.",EGY,85.7,46.7,24.3,23.4,22.6,21.8,21,20.3,19.6,19,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,El Salvador,SLV,60,33.1,16,15.4,14.8,14.3,13.8,13.3,12.8,12.4,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Equatorial Guinea,GNQ,178.5,155.5,96.8,93.7,90.6,87.6,84.7,81.9,79.3,76.8,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Eritrea,ERI,153.1,85.5,48.1,46.4,44.9,43.4,41.9,40.6,39.3,38.1,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Estonia,EST,17.7,11,3.4,3.1,2.9,2.7,2.5,2.3,2.1,2,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Eswatini,SWZ,68.3,112.3,67.9,64.4,61.8,63.2,59.6,56.9,56.2,52.6,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Ethiopia,ETH,200.8,140.5,65.9,62.4,59,56,53.2,50.9,48.7,46.8,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Fiji,FJI,29.1,22.6,24.1,24.5,25,25.6,26.3,26.9,27.5,27.7,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Finland,FIN,6.7,4.3,2.6,2.5,2.4,2.4,2.3,2.3,2.2,2.2,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,France,FRA,9,5.4,4.1,4.2,4.2,4.3,4.3,4.3,4.4,4.4,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Gabon,GAB,92.4,84.5,52.2,50.4,48.4,46.6,44.9,43.2,41,39.7,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,"Gambia, The",GMB,166.5,113.7,62.6,60.1,57.7,55.5,53.4,51.5,49.6,47.9,..,..
