Year,"Mortality rate, under-5 (per 1,000 live births)"
2000-01-01,18.73999938964844
2001-01-01,18.11000061035156
2002-01-01,17.46999969482422
2003-01-01,16.830000305175783
2004-01-01,16.21999969482422
2005-01-01,15.639999389648438
2006-01-01,15.080000305175782
2007-01-01,14.539999389648438
2008-01-01,14.01999969482422
2009-01-01,13.510000610351565
2010-01-01,13.030000305175784
2011-01-01,12.55999984741211
2012-01-01,12.1
2013-01-01,11.65999984741211
2014-01-01,11.240000152587893
2015-01-01,10.830000305175782
2016-01-01,10.45
2017-01-01,10.09000015258789
2018-01-01,9.740000152587893
2019-01-01,9.419999694824218
