Year,"Mortality rate, under-5 (per 1,000 live births)"
2000-01-01,22.48999938964844
2001-01-01,21.51999969482422
2002-01-01,20.450000000000003
2003-01-01,19.310000610351565
2004-01-01,18.15
2005-01-01,17.019999694824218
2006-01-01,15.93000030517578
2007-01-01,14.9
2008-01-01,13.93000030517578
2009-01-01,13.030000305175784
2010-01-01,12.190000152587892
2011-01-01,11.45
2012-01-01,10.81999969482422
2013-01-01,10.26999969482422
2014-01-01,9.8
2015-01-01,9.380000305175782
2016-01-01,9.009999847412107
2017-01-01,8.65999984741211
2018-01-01,8.35
2019-01-01,8.030000305175781
